108-19-0	15	3.77E+02
684-93-5	24	3.98E+02
64-17-5	25	4.09E+00
67-68-5	25	6.00E-02
107-21-1	60	8.70E-01
66-27-3	25	3.77E+01
77-78-1	18	2.44E+02
75-08-1	25	2.28E+02
75-18-3	25	1.54E+02
540-63-6	25	4.63E+02
624-92-0	25	1.74E+03
593-59-9	19	4.53E+04
75-04-7	49.45	1.27E+00
124-40-3	25	2.00E-01
141-43-5	35	2.30E-01
107-35-7	25	7.42E+01
107-15-3	108	3.00E-02
57-14-7	82.5	4.40E-01
2	0	5.34E+03
148832-09-1	25	4.37E+04
87-90-1	20	1.61E+04
1888-71-7	25	9.20E+04
2958-99-8	20	1.35E+03
120-89-8	8	1.42E+02
598-99-2	29.6	1.11E+04
107-13-1	25	3.94E+01
141-84-4	25	3.29E+03
288-47-1	90	1.79E+01
462-02-2	15	7.17E+04
108-80-5	20	1.43E+03
638-16-4	25	4.10E+04
460-35-5	20	5.52E+03
542-76-7	25	1.06E+02
1007-28-9	2	4.63E+04
78-88-6	18	2.24E+03
10061-01-5	20	2.29E+03
10061-02-6	20	2.20E+03
542-75-6	20	1.36E+03
563-54-2	25	2.28E+03
26952-23-8	20	2.29E+03
116-54-1	25	2.40E+03
107-91-5	20	3.69E+01
53744-47-1	20	1.12E+02
645-93-2	2	9.25E+04
107-02-8	25	2.35E+01
79-10-7	54.55	9.44E+00
590-14-7	25	1.24E+03
590-13-6	25	1.18E+03
590-15-8	25	1.55E+03
557-93-7	25	7.31E+02
106-95-6	25	1.75E+03
96-12-8	20	1.07E+04
590-21-6	25	6.38E+02
16136-84-8	25	7.60E+02
16136-85-9	25	9.60E+02
557-98-2	25	4.55E+02
107-05-1	25	1.06E+03
106-89-8	20	8.64E+01
78-95-5		6.32E+01
96-34-4	25	1.11E+02
595-44-8	20	1.76E+03
7789-89-1	25	4.30E+03
598-77-6	25	4.30E+03
96-18-4	25	4.06E+03
141-76-4	25	1.50E+02
107-12-0	95	3.84E+01
624-79-3		3.06E+03
38434-77-4	24	3.98E+02
55-63-0	20	9.12E+03
645-92-1	23	9.41E+04
109-70-6	25	3.91E+03
52-51-7	22	5.65E+01
598-17-4	25	3.47E+03
78-75-1	25	7.82E+03
109-64-8	25	6.62E+03
594-16-1	25	1.84E+03
37809-02-2	20	8.65E+02
600-25-9	20	8.65E+02
78-99-9	25	1.94E+03
78-87-5	25	2.20E+03
26198-63-0	25	2.95E+03
142-28-9	25	2.24E+03
594-20-7	25	7.48E+02
96-23-1	19	8.05E+01
591-07-1	15	4.37E+02
1804-15-5	26	1.24E+02
108-13-4	8	7.49E+01
7417-67-6	24	3.27E+02
462-60-2	25	1.70E+02
623-87-0	20	1.40E+02
