109-67-1	106.5197799	14.67319816	0.699335276	1	0.14601363	0.445326643
15869-92-8	196.5215144	15.51521774	0	1	0	0
590-66-9	146.4634387	15.70223083	0.646997067	1	0	0
15869-94-0	196.5215144	15.5167001	0	1	0	0
14676-29-0	196.5215144	15.5179707	0	1	0	0
PPBWEVVDSRKEIK-UHFFFAOYSA-N	138.507286	15.34457649	0.590951124	0.981174342	0.197419654	1.363574896
3178-29-8	196.5215144	15.52262947	0	1	0	0
20278-89-1	196.5215144	15.523053	0	1	0	0
17302-01-1	196.5215144	15.52453536	0	1	0	0
107-19-7	62.79970338	14.06525922	4.456986092	1	10.71209193	13.31726563
7146-60-3	196.5215144	15.53152354	0	1	0	0
15869-86-0	196.5215144	15.53321767	0	1	0	0
513-85-9	92.17105174	13.99581965	5.90651615	1	11.50566024	14.09565655
563-79-1	121.2765481	15.35337169	0.491019137	0.996656412	0.113128074	1.355498616
107-07-3	69.17561336	14.15209776	6.273272667	1	10.64274192	11.39100918
497-06-3	86.31776798	14.660823	5.424719699	1	11.03845875	14.87011301
2040-96-2	146.6021938	15.78939727	0.51843907	1	0	0
96-37-7	113.4118263	15.55682977	0.470979819	1	0	0
15869-85-9	196.5215144	15.53808822	0	1	0	0
116-09-6	74.55914419	14.56730968	6.559880253	1	6.851898158	14.22670058
127-00-4	86.58104724	14.5341821	5.546328192	1	7.846050194	11.89346473
4914-91-4	138.507286	15.33182818	0.56036427	0.975443381	0.213506891	1.407492188
17301-94-9	196.5215144	15.5399941	0	1	0	0
871-83-0	196.5215144	15.54253524	0	1	0	0
110-64-5	85.26482003	15.0294533	6.163540345	1	10.4408122	14.80984863
57-55-6	75.7855554	13.73921055	6.371349798	1	13.2649268	14.05603572
5881-17-4	196.5215144	15.54549994	0	1	0	0
3073-66-3	163.624226	15.65138137	0.637131496	0.998634497	0	0
124-11-8	172.9005151	15.49584273	0.610614195	1	0.171812411	0.663728494
5911-04-6	196.5215144	15.54952347	0	1	0	0
3875-51-2	146.740949	15.80344728	0.484121332	1	0	0
BIDIHFPLDRSAMB-UHFFFAOYSA-N	139.7025793	15.08946041	0.354210541	0.95782983	0.2661338	1.550888135
13475-82-6	229.711882	15.56505989	0	1	0	0
107-40-4	155.6115556	15.35872798	0.323933438	0.956020321	0.296251998	0.995912013
584-03-2	92.45370449	14.20503912	5.680417776	1	10.98123954	13.75418353
141-43-5	64.87597386	14.23380016	4.685356682	1	12.92774375	16.62261355
236109-00-5	129.8970544	15.07528796	1.457091778	0.990350085	0.213013508	1.678387515
16746-86-4	155.9455837	15.3479832	0.470893408	0.973612487	0.233451675	1.416907171
1678-91-7	146.1859284	15.87940371	0.450341894	1	0	0
592-45-0	115.0237309	15.34590366	1.620678619	0.997245347	0	0.979142591
65144-02-7	78.47447847	14.00753772	7.871701851	1	14.52956516	14.3760368
2207-01-4	145.9084181	15.8770777	0.486000594	1	0	0
7145-20-2	155.3053111	15.47844225	0.752531823	0.996013011	0.175364069	1.2554662
127-06-0	79.36362202	14.44772446	4.880926364	1	8.676578672	11.84705822
624-67-9	59.43590069	14.44705342	9.323051768	1	3.466618018	7.943784682
107-29-9	64.1762822	14.03616567	3.791053332	1	9.818182137	12.71202318
50-21-5	77.08075763	13.07359518	5.44444272	1	16.53156862	13.17108963
625-45-6	81.02012045	13.58119908	3.422807985	1	12.29833909	13.38956794
3070-53-9	132.3126904	15.38427257	1.39287081	0.984339706	0.235698566	1.17077855
598-42-5	62.19612218	13.39653472	8.557265681	1	18.27703583	14.54886368
927-74-2	78.38010486	14.25169076	4.329074692	1	10.45118025	12.31162846
151-56-4	48.46432443	13.71425736	10.88438992	1	7.26540759	9.811908076
62-55-5	62.6046334	13.77479255	11.61363858	1	20.05267471	10.69607386
109-66-0	113.5455955	14.70004759	0	1	0	0
124-18-5	196.5215144	15.5918762	0	1	0	0
540-51-2	72.72405522	15.10747632	6.661909359	1	10.01845631	11.04768651
729-81-7	174.7204978	14.58740322	0.640201102	1	0.224215215	0.585701604
207511-18-0	100.720982	15.55043607	6.409678382	1	12.17510732	14.91754685
